失格 (しっかく)
失禁 (しっきん)
失効 (しっこう)
失職 (しっしょく)
失政 (しっせい)
質素 (しっそ)
失態 (しったい)
質感 (しつかん)
質実 (しつじつ)
質的 (しつてき)
質問 (しつもん)
質量 (しつりょう)
師弟 (してい)
支店 (してん)
支点 (してん)
支店長 (してんちょう)
指導 (しどう)
支配 (しはい)
支配人 (しはいにん)
支部 (しぶ)
思弁 (しべん)
資本 (しほん)
資本家 (しほんか)
資本金 (しほんきん)
志望 (しぼう)
志望校 (しぼうこう)
支脈 (しみゃく)
市民税 (しみんぜい)
謝意 (しゃい)
謝恩 (しゃおん)
写経 (しゃきょう)
借財 (しゃくざい)
車検 (しゃけん)
謝罪 (しゃざい)
謝辞 (しゃじ)
謝状 (しゃじょう)
謝絶 (しゃぜつ)
写像 (しゃぞう)
社団 (しゃだん)
社団法人 (しゃだんほうじん)
舎弟 (しゃてい)
謝肉祭 (しゃにくさい)
謝礼 (しゃれい)
主因 (しゅいん)
習慣 (しゅうかん)
週刊 (しゅうかん)
修学 (しゅうがく)
修業 (しゅうぎょう)
修好 (しゅうこう)
修士 (しゅうし)
修辞 (しゅうじ)
修整 (しゅうせい)
修正 (しゅうせい)
習性 (しゅうせい)
集団 (しゅうだん)
修築 (しゅうちく)
修得 (しゅうとく)
修道 (しゅうどう)
修復 (しゅうふく)
週報 (しゅうほう)
修養 (しゅうよう)
修理 (しゅうり)
修練 (しゅうれん)
守衛 (しゅえい)
主演 (しゅえん)
主格 (しゅかく)
主幹 (しゅかん)
主眼 (しゅがん)
主義 (しゅぎ)
修行 (しゅぎょう)
祝賀 (しゅくが)
宿舎 (しゅくしゃ)
宿敵 (しゅくてき)
守護 (しゅご)
守護神 (しゅごしん)
主査 (しゅさ)
主述 (しゅじゅつ)
手術 (しゅじゅつ)
守勢 (しゅせい)
酒石酸 (しゅせきさん)
酒税法 (しゅぜいほう)
酒造 (しゅぞう)
主張 (しゅちょう)
出資 (しゅっし)
出張 (しゅっちょう)
出版 (しゅっぱん)
出演 (しゅつえん)
出現 (しゅつげん)
主導 (しゅどう)
主任 (しゅにん)
主犯 (しゅはん)
守備 (しゅび)
主婦 (しゅふ)
酒保 (しゅほ)
主務 (しゅむ)
首領 (しゅりょう)
勝因 (しょういん)
照応 (しょうおう)
小額 (しょうがく)
少額 (しょうがく)
証券 (しょうけん)
証言 (しょうげん)
照査 (しょうさ)
賞賛 (しょうさん)
証紙 (しょうし)
招集 (しょうしゅう)
証書 (しょうしょ)
小職 (しょうしょく)
精舎 (しょうじゃ)
照準 (しょうじゅん)
賞状 (しょうじょう)
精進 (しょうじん)
招待 (しょうたい)
承知 (しょうち)
証人 (しょうにん)
性根 (しょうね)
小破 (しょうは)
消費税 (しょうひぜい)
性分 (しょうぶん)
消防 (しょうぼう)
証明 (しょうめい)
証文 (しょうもん)
招来 (しょうらい)
省略 (しょうりゃく)
性悪 (しょうわる)
初演 (しょえん)
職安 (しょくあん)
職位 (しょくい)
職員 (しょくいん)
職業 (しょくぎょう)
職種 (しょくしゅ)
職住 (しょくじゅう)
職制 (しょくせい)
職責 (しょくせき)
職人 (しょくにん)
職能 (しょくのう)
職場 (しょくば)
職分 (しょくぶん)
職務 (しょくむ)
属目 (しょくもく)
職歴 (しょくれき)
所在 (しょざい)
所在地 (しょざいち)
所在な (しょざいな)
初志 (しょし)
書証 (しょしょう)
書状 (しょじょう)
所属 (しょぞく)
食券 (しょっけん)
職工 (しょっこう)
初任給 (しょにんきゅう)
初版 (しょはん)
初犯 (しょはん)
書評 (しょひょう)
支流 (しりゅう)
資料 (しりょう)
飼料 (しりょう)
資力 (しりょく)
素人 (しろうと)
師走 (しわす)
親衛 (しんえい)
真価 (しんか)
新刊 (しんかん)
新幹線 (しんかんせん)
新規 (しんき)
新旧 (しんきゅう)
新居 (しんきょ)
心境 (しんきょう)
新技術 (しんぎじゅつ)
心技体 (しんぎたい)
神経 (しんけい)
神経質 (しんけいしつ)
新興 (しんこう)
親告罪 (しんこくざい)
深謝 (しんしゃ)
心証 (しんしょう)
信条 (しんじょう)
心情 (しんじょう)
新制 (しんせい)
真性 (しんせい)
新製品 (しんせいひん)
新設 (しんせつ)
進退 (しんたい)
